0,1,2,3,4,5,6,7,8,9
"Type of
Meeting","Group
Board
Retreat","Annual
General
Meeting","Board Risk
Masterclass
Training",Board Meetings,,,,,
Date,"24-
25/3/20
23","24/5/202
3",28/11/2023,30/1/2023,19/4/2023,4/5/2023,27/7/2023,25/10/2023,19/12/2023
"Bababode
Osunkoya*",P,P,A,P,P,P,P,A,NM
"Abubakar
Jimoh",P,P,P,P,P,P,P,P,P
"Fatimah Bello-
Ismail",P,P,P,P,P,P,P,P,P
"Ojinika
Olaghere",P,P,P,P,P,P,P,P,P
"Olusegun
Ogbonnewo",P,P,P,P,P,P,P,P,P
"Roosevelt
Ogbonna",P,P,P,P,P,P,P,A,P
"Oluseyi
Kumapayi",P,P,P,P,P,P,P,P,P
Herbert Wigwe,P,P,P,P,P,P,P,P,P
Bolaji Agbede,P,P,P,P,P,P,P,P,P
"Lanre
Bamisebi",P,P,P,P,P,P,P,P,P
